,unit,ticker,exchangeCD,shortNM,currencyCD,barTime,dataDate,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
178,1,000001,XSHG,上证指数,13:58,2016/7/1,2934.432,2936.078,2936.078,2934.432,40690200,498614041.5,
179,1,000001,XSHG,上证指数,13:59,2016/7/1,2934.659,2935.601,2935.668,2934.47,41431900,490956336.4,
180,1,000001,XSHG,上证指数,14:00,2016/7/1,2933.521,2935.006,2935.18,2933.521,40486100,477844023.8,
181,1,000001,XSHG,上证指数,14:01,2016/7/1,2934.062,2934.11,2934.857,2933.329,37184900,458396543.1,
182,1,000001,XSHG,上证指数,14:02,2016/7/1,2933.27,2934.852,2934.852,2932.94,33453000,398345317,
183,1,000001,XSHG,上证指数,14:03,2016/7/1,2933.424,2934.15,2934.15,2932.809,38648400,449262975.2,
184,1,000001,XSHG,上证指数,14:04,2016/7/1,2933.357,2933.927,2933.927,2932.479,39474900,430328233.1,
185,1,000001,XSHG,上证指数,14:05,2016/7/1,2933.069,2933.815,2934.139,2932.538,39644300,430068578,
186,1,000001,XSHG,上证指数,14:06,2016/7/1,2933.651,2933.364,2934.118,2932.805,33402000,416521326.3,
187,1,000001,XSHG,上证指数,14:07,2016/7/1,2934.067,2934.428,2934.559,2933.193,40840100,479780844.2,
188,1,000001,XSHG,上证指数,14:08,2016/7/1,2935.042,2934.191,2935.229,2934.191,46984500,561419584,
189,1,000001,XSHG,上证指数,14:09,2016/7/1,2935.505,2935.546,2935.907,2934.964,45085400,565912446.6,
190,1,000001,XSHG,上证指数,14:10,2016/7/1,2935.953,2936.406,2936.55,2935.477,48666100,593912621.9,
191,1,000001,XSHG,上证指数,14:11,2016/7/1,2936.887,2936.396,2936.887,2935.98,51228700,619607291.9,
192,1,000001,XSHG,上证指数,14:12,2016/7/1,2936.549,2935.497,2936.783,2935.497,51606400,608465161.5,
193,1,000001,XSHG,上证指数,14:13,2016/7/1,2936.389,2935.576,2936.827,2935.576,40560100,483662331.5,
194,1,000001,XSHG,上证指数,14:14,2016/7/1,2936.043,2936.489,2936.744,2936.043,45177100,489835107.7,
195,1,000001,XSHG,上证指数,14:15,2016/7/1,2935.19,2936.423,2936.742,2935.19,41716400,467663124.3,
